course,courseTitle
http://ROBOPROF.org/data#FRAA498,FRAA 498: Étude avancée d’un sujet particulier
http://ROBOPROF.org/data#FFAR255,FFAR 255: Art of Film Animation
http://ROBOPROF.org/data#STAT347,STAT 347: Introduction to Non-Parametric Statistics
http://ROBOPROF.org/data#INTE491,INTE 491: SELECTED TOPICS IN IDS
http://ROBOPROF.org/data#ENCS272,ENCS 272: Composition and Argumentation for Engineers
http://ROBOPROF.org/data#POLI496,POLI 496: Honours Seminar
http://ROBOPROF.org/data#BIOL615,BIOL 615: ADV TOPICS IN ANIMAL BIOLOGY
http://ROBOPROF.org/data#ETEC541,ETEC 541: RESEARCH METHODS II
http://ROBOPROF.org/data#QUAN433,QUAN 433: TOPICS IN QUANTITATIVE METH
http://ROBOPROF.org/data#URBS450,URBS 450: Economic Restructuring
http://ROBOPROF.org/data#SPEC600,SPEC 600: SPEC MASTER'S LEVEL STUDIES
http://ROBOPROF.org/data#DANC450,DANC 450: TOPICS IN DANCE
http://ROBOPROF.org/data#HIST212,HIST 212: (also listed as IRST 210) The Irish in Canada
http://ROBOPROF.org/data#ENGR6411,ENGR 6411: ROBOTICS I: MECHANICS
http://ROBOPROF.org/data#CIVI454,CIVI 454: Design of Steel Structures
http://ROBOPROF.org/data#THEO200,THEO 200: SELECTED TOPICS - THEOLOGY I
http://ROBOPROF.org/data#MATH205,MATH 205: Differential and Integral Calculus II
http://ROBOPROF.org/data#ENGL637,ENGL 637: DRAMA III
http://ROBOPROF.org/data#HIST276,HIST 276: History of Latin America: The Colonial Period
http://ROBOPROF.org/data#APLI627,APLI 627: INDIVIDUAL DIFFERENCE IN SLA
http://ROBOPROF.org/data#INDI603,INDI 603: MASTER'S LEVEL STUDIES PHOTOGRAPHY II
http://ROBOPROF.org/data#PSYC846C,PSYC 846C: HUMAN DEVELOPM'T AREA SEM II
http://ROBOPROF.org/data#PSYC838A,PSYC 838A: EXTRAMURAL PRACTIC II:ADULT
http://ROBOPROF.org/data#COMS414,COMS 414: PRODUCTION ADMINISTRATION
http://ROBOPROF.org/data#ENGL335,ENGL 335: Literature of the Victorian Period
http://ROBOPROF.org/data#SPEC601,SPEC 601: SPEC MASTER'S LEVEL STUDIES
http://ROBOPROF.org/data#ADED345,ADED 345: Evaluating Adult Learning Projects
http://ROBOPROF.org/data#RELI315,RELI 315: Muslim Cultures in Southern Asia
http://ROBOPROF.org/data#APLI671,APLI 671: RDG CRS/APPL LINGUISTICS I
http://ROBOPROF.org/data#PSYC363,PSYC 363: Fundamentals of Sensation and Perception
http://ROBOPROF.org/data#PHIL220,PHIL 220: Introduction to the Philosophy of Science
http://ROBOPROF.org/data#RELI353,RELI 353: RELIGION & THE ARTS IN THE WEST
http://ROBOPROF.org/data#FMST317,FMST 317: Transnational Approaches to Cinema
http://ROBOPROF.org/data#RELI319,RELI 319: Modern Islam
http://ROBOPROF.org/data#ENGR371,ENGR 371: Probability and Statistics in Engineering
http://ROBOPROF.org/data#CIVI758,CIVI 758: SPECIAL TOP-SOIL MECHANICS
http://ROBOPROF.org/data#JPER421,JPER 421: Jazz Ensemble III
http://ROBOPROF.org/data#RELI680,RELI 680: Guided Research Paper
http://ROBOPROF.org/data#COEN6313,COEN 6313: PROGRAMMING ON THE CLOUD
http://ROBOPROF.org/data#PRIN331,PRIN 331: Screen Printing II
http://ROBOPROF.org/data#PROD415,PROD 415: Production B
http://ROBOPROF.org/data#SCUL481,SCUL 481: PROFESSIONAL INTERNSHIP I
http://ROBOPROF.org/data#ENGL499,ENGL 499: ADVANCED TOPICS IN ENGLISH
http://ROBOPROF.org/data#MANA420,MANA 420: Management Research for Decision Making
http://ROBOPROF.org/data#ELEC321,ELEC 321: Introduction to Semiconductor Materials and Devices
http://ROBOPROF.org/data#HEBR310,HEBR 310: TOPICS IN HEBREW LITERATURE
http://ROBOPROF.org/data#CHEM581,CHEM 581: SEL.TOPIC-ENVIR L & ECOTOX.I
http://ROBOPROF.org/data#PSYC842,PSYC 842: External Practicum III: Adult
http://ROBOPROF.org/data#CATA439,"CATA 439: Rehabilitation of the Hip, Spine and Pelvis"
http://ROBOPROF.org/data#ECON537,ECON 537: Economics of Public Expenditure
http://ROBOPROF.org/data#EDUC374,EDUC 374: Child Studies Field Experience: Child and Youth Settings
http://ROBOPROF.org/data#INDI628,INDI 628: MASTER'S LEVEL STUDIES
http://ROBOPROF.org/data#EMBA690,EMBA 690: MGMNT CONSULTING PROJECT
http://ROBOPROF.org/data#BSTA478,BSTA 478: DATA MINING TECHNIQUES
http://ROBOPROF.org/data#ENGR6291,ENGR 6291: RHEOLOGY
http://ROBOPROF.org/data#TESL341,TESL 341: Second Language Acquisition
http://ROBOPROF.org/data#IRST303,IRST 303: The Global Irish
http://ROBOPROF.org/data#CHEM678,CHEM 678: PROTEIN ENGINEERING & DESIGN
http://ROBOPROF.org/data#ENGL382,ENGL 382: Postcolonial Literature
http://ROBOPROF.org/data#PRIN341,PRIN 341: Processes in Digital Print Media II
http://ROBOPROF.org/data#ELEC481,ELEC 481: LINEAR SYSTEMS
http://ROBOPROF.org/data#NURS393,NURS 393: SELECTED TOPICS IN NURSING
http://ROBOPROF.org/data#PHIL497A,PHIL 497A: Tutorial in Philosphy - Wittgenstein's Philosophical Investigations
http://ROBOPROF.org/data#ELEC6471,ELEC 6471: HYBRID ELECTRIC VEHICLE POWER SYSTEM DESIGN AND CONTROL
http://ROBOPROF.org/data#MECH690,MECH 690: TOPICS IN MECHANICAL ENGR I
http://ROBOPROF.org/data#FMPR231,FMPR 231: Filmmaking I
http://ROBOPROF.org/data#GPWL975,GPWL 975: Thriving during challenging times
http://ROBOPROF.org/data#CART455,CART 455: Professional Internship I
http://ROBOPROF.org/data#ACCO495,ACCO 495: HONOURS SEMINAR IN ACCOUNTANCY
http://ROBOPROF.org/data#SPAN631,"SPAN 631: TOPICS: SPANISH TRANSLATION-Invention, Borders and Tensions in Colonial Spanish American Discourse"
http://ROBOPROF.org/data#MSCA671,MSCA 671: SEMINAR IN RELATIONSHIP MARKETING STRATEGY
http://ROBOPROF.org/data#ARTH808,ARTH 808: COMPREHENSIVE EXAMINATION
http://ROBOPROF.org/data#MECH490B,MECH 490B:  Capstone Mechanical Engineering Design Project
http://ROBOPROF.org/data#HIST299,HIST 299: SELECTED TOPICS IN HISTORY
http://ROBOPROF.org/data#CEBD1100,CEBD 1100: INTRO TO PYTHON
http://ROBOPROF.org/data#INDU6331,INDU 6331: ADVANCED QUALITY CONTROL
http://ROBOPROF.org/data#GDBA502,GDBA 502: STATISTICS
http://ROBOPROF.org/data#SOCI399,SOCI 399: SELECTED TOPICS IN SOCIOLOGY
http://ROBOPROF.org/data#PSYC646,PSYC 646: Human Development Area Seminar I
http://ROBOPROF.org/data#MARK672,MARK 672: STRATEGIC MARKETING
http://ROBOPROF.org/data#FFAR260,FFAR 260: THE MOVIE SOUNDTRACK
http://ROBOPROF.org/data#GDBA534,GDBA 534: MARKETING MANAGEMENT
http://ROBOPROF.org/data#PHIL475,PHIL 475: Contemporary Issues in Analytic Philosophy
http://ROBOPROF.org/data#CATS691,CATS 691: RESEARCH IN THE CATS
http://ROBOPROF.org/data#COMP474,COMP 474: Intelligent Systems
http://ROBOPROF.org/data#FMAN350,FMAN 350: INTRODUCTION TO STOP-MOTION ANIMATION
http://ROBOPROF.org/data#FBRS397,FBRS 397: TOPICS IN FIBRES STRUCTURES
http://ROBOPROF.org/data#GDBA538,GDBA 538: Strategic Management
http://ROBOPROF.org/data#AHSC330,AHSC 330: Leadership and Facilitation in Small Groups
http://ROBOPROF.org/data#LIBS376,LIBS 376: SELECT TOPIC IN LIBRARY STUD
http://ROBOPROF.org/data#FFAZ398,FFAZ 398: SPECIAL TOPICS IN FINE ARTS
http://ROBOPROF.org/data#CEBD420PT,CEBD 420PT: DATA SCIENCE
http://ROBOPROF.org/data#POLI486Y,POLI 486Y: Advanced Seminar in International Relations:  Strategic Studies
http://ROBOPROF.org/data#GEOG372,GEOG 372: Plant Reproductive Ecology
http://ROBOPROF.org/data#MARK444,MARK 444: SPORTS MARKETING
http://ROBOPROF.org/data#ESTU644,ESTU 644: SCHOOL AND SOCIETY
http://ROBOPROF.org/data#BLDG6781,BLDG 6781: ENERGY MGMT. IN BUILDINGS
http://ROBOPROF.org/data#CECD559,CECD 559: SOLIDWORKS II
http://ROBOPROF.org/data#PSYC801,PSYC 801: RESEARCH SEMINAR I
http://ROBOPROF.org/data#ENGR790,ENGR 790: TOPICS IN ENGINEERING II
http://ROBOPROF.org/data#RELI6012,RELI 6012: Jewish Texts and Literature: Interpretation and Reception
http://ROBOPROF.org/data#ESTU680,ESTU 680: READING COURSE
http://ROBOPROF.org/data#SPEC643,SPEC 643: SPEC MASTER'S LEVEL STUDIES
http://ROBOPROF.org/data#POLI394,POLI 394: Globalization and Sustainable Development
http://ROBOPROF.org/data#ARTE320,ARTE 320: Multidisciplinary Approaches to Art and Teaching
