topic,topicLabel,dbpedia_link
http://ROBOPROF.org/data#Soen,soen,http://dbpedia.org/resource/Soen
http://ROBOPROF.org/data#Commercial_off-the-shelf,cots,http://dbpedia.org/resource/Commercial_off-the-shelf
http://ROBOPROF.org/data#Oxford_English_Dictionary,oxford english dictionary,http://dbpedia.org/resource/Oxford_English_Dictionary
http://ROBOPROF.org/data#Theorem,theorem,http://dbpedia.org/resource/Theorem
http://ROBOPROF.org/data#Code_refactoring,reengineering,http://dbpedia.org/resource/Code_refactoring
http://ROBOPROF.org/data#Cascading_Style_Sheets,css,http://dbpedia.org/resource/Cascading_Style_Sheets
http://ROBOPROF.org/data#High_tech,hightech,http://dbpedia.org/resource/High_tech
http://ROBOPROF.org/data#Open_source,opensource,http://dbpedia.org/resource/Open_source
http://ROBOPROF.org/data#Unix,unix,http://dbpedia.org/resource/Unix
http://ROBOPROF.org/data#Outsourcing,outsourcing,http://dbpedia.org/resource/Outsourcing
http://ROBOPROF.org/data#Outsourcing,outsource,http://dbpedia.org/resource/Outsourcing
http://ROBOPROF.org/data#Instruction_pipelining,pipeline,http://dbpedia.org/resource/Instruction_pipelining
http://ROBOPROF.org/data#International_Organization_for_Standardization,iso,http://dbpedia.org/resource/International_Organization_for_Standardization
http://ROBOPROF.org/data#Pirzada,pirzada,http://dbpedia.org/resource/Pirzada
http://ROBOPROF.org/data#Regression_testing,regression testing,http://dbpedia.org/resource/Regression_testing
http://ROBOPROF.org/data#Regression_testing,regression,http://dbpedia.org/resource/Regression_testing
http://ROBOPROF.org/data#Cost_overrun,cost risk,http://dbpedia.org/resource/Cost_overrun
http://ROBOPROF.org/data#X86,dl,http://dbpedia.org/resource/X86
http://ROBOPROF.org/data#Unified_Modeling_Language,uml,http://dbpedia.org/resource/Unified_Modeling_Language
http://ROBOPROF.org/data#Evolvability,evolvability,http://dbpedia.org/resource/Evolvability
http://ROBOPROF.org/data#King_Arthur,arthur,http://dbpedia.org/resource/King_Arthur
http://ROBOPROF.org/data#IEEE_754,ieee,http://dbpedia.org/resource/IEEE_754
http://ROBOPROF.org/data#Capillary_wave,ripple,http://dbpedia.org/resource/Capillary_wave
http://ROBOPROF.org/data#Reverse_engineering,reverse engineering,http://dbpedia.org/resource/Reverse_engineering
http://ROBOPROF.org/data#Programming_language,programming language,http://dbpedia.org/resource/Programming_language
http://ROBOPROF.org/data#Programming_language,semantic,http://dbpedia.org/resource/Programming_language
http://ROBOPROF.org/data#Middleware,middleware,http://dbpedia.org/resource/Middleware
http://ROBOPROF.org/data#Intellectual_property,intellectual property,http://dbpedia.org/resource/Intellectual_property
http://ROBOPROF.org/data#Proprietary_software,closed source,http://dbpedia.org/resource/Proprietary_software
http://ROBOPROF.org/data#LUnix,lunix,http://dbpedia.org/resource/LUnix
http://ROBOPROF.org/data#Mathematics,mathematics,http://dbpedia.org/resource/Mathematics
http://ROBOPROF.org/data#Industry,industrial,http://dbpedia.org/resource/Industry
http://ROBOPROF.org/data#Maintainability,maintainability,http://dbpedia.org/resource/Maintainability
http://ROBOPROF.org/data#List_of_bus_routes_in_London,r6,http://dbpedia.org/resource/List_of_bus_routes_in_London
http://ROBOPROF.org/data#Congress_of_Racial_Equality,core,http://dbpedia.org/resource/Congress_of_Racial_Equality
http://ROBOPROF.org/data#Spectral_line,bandwidth,http://dbpedia.org/resource/Spectral_line
http://ROBOPROF.org/data#X_Window_System,xwindow,http://dbpedia.org/resource/X_Window_System
http://ROBOPROF.org/data#Parsing,parsing,http://dbpedia.org/resource/Parsing
http://ROBOPROF.org/data#Genealogy,genealogy,http://dbpedia.org/resource/Genealogy
http://ROBOPROF.org/data#Real_number,real number,http://dbpedia.org/resource/Real_number
http://ROBOPROF.org/data#Memory_management,memory,http://dbpedia.org/resource/Memory_management
http://ROBOPROF.org/data#Firefox,mozilla,http://dbpedia.org/resource/Firefox
http://ROBOPROF.org/data#Boolean_algebra,logic,http://dbpedia.org/resource/Boolean_algebra
http://ROBOPROF.org/data#Milestone,milestone,http://dbpedia.org/resource/Milestone
http://ROBOPROF.org/data#Cloning,cloning,http://dbpedia.org/resource/Cloning
http://ROBOPROF.org/data#Cloning,clones,http://dbpedia.org/resource/Cloning
http://ROBOPROF.org/data#DECstation,pmax,http://dbpedia.org/resource/DECstation
http://ROBOPROF.org/data#Energy,energy,http://dbpedia.org/resource/Energy
http://ROBOPROF.org/data#Molecular_cloning,clone,http://dbpedia.org/resource/Molecular_cloning
http://ROBOPROF.org/data#Control_flow,control flow,http://dbpedia.org/resource/Control_flow
http://ROBOPROF.org/data#Cognitive_load,cognitive load,http://dbpedia.org/resource/Cognitive_load
http://ROBOPROF.org/data#Communication,communication,http://dbpedia.org/resource/Communication
http://ROBOPROF.org/data#AWK,awk,http://dbpedia.org/resource/AWK
http://ROBOPROF.org/data#Ais_people,ais,http://dbpedia.org/resource/Ais_people
http://ROBOPROF.org/data#Dependent_and_independent_variables,dependence,http://dbpedia.org/resource/Dependent_and_independent_variables
http://ROBOPROF.org/data#Undecidable_problem,undecidable,http://dbpedia.org/resource/Undecidable_problem
http://ROBOPROF.org/data#Parsing,parsing,http://dbpedia.org/resource/Parsing
