"lecture","topicLabel","source"
"http://ROBOPROF.org/data#COMP6741_Lecture02","rdf schema","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture04/slides/BaseQueries_and_LinkedOpenDataset04.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","rdf schema","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab02/COMP-474-2234-UU_Lab%2520Session_02_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","rdf schema","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab04/COMP-474-2234-UU_Lab%2520Session_04_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","rdf schema","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab03/COMP-474-2234-UU_Lab%2520Session_03_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","rdf schema","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture02/slides/KnowledgeBase02.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","rdf schema","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture06/slides/MachineLearning06.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","rdfs","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture03/slides/VocabulariesAndOntologies03.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","rdfs","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture04/slides/BaseQueries_and_LinkedOpenDataset04.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","rdfs","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab02/COMP-474-2234-UU_Lab%2520Session_02_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","rdfs","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab04/COMP-474-2234-UU_Lab%2520Session_04_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","rdfs","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab03/COMP-474-2234-UU_Lab%2520Session_03_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","rdfs","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture02/slides/KnowledgeBase02.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","rdfs","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture06/slides/MachineLearning06.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","world wide web consortium","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture02/slides/KnowledgeBase02.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","the next web","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture02/slides/KnowledgeBase02.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","n3","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture03/slides/VocabulariesAndOntologies03.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","n3","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture02/worksheets/worksheet02.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","n3","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture02/slides/KnowledgeBase02.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","llm","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture02/slides/KnowledgeBase02.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","wikidata","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab05/COMP-474-2234-UU_Lab%2520Session_05_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","wikidata","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture03/worksheets/worksheet03.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","wikidata","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab02/COMP-474-2234-UU_Lab%2520Session_02_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","wikidata","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab04/COMP-474-2234-UU_Lab%2520Session_04_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","wikidata","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture01/worksheets/worksheet01.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","wikidata","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab03/COMP-474-2234-UU_Lab%2520Session_03_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","wikidata","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture02/slides/KnowledgeBase02.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","graph","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture04/slides/BaseQueries_and_LinkedOpenDataset04.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","graph","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab02/COMP-474-2234-UU_Lab%2520Session_02_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","graph","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture02/slides/KnowledgeBase02.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","a11","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture02/slides/KnowledgeBase02.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","rdf","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture03/slides/VocabulariesAndOntologies03.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","rdf","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture04/slides/BaseQueries_and_LinkedOpenDataset04.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","rdf","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture06/worksheets/worksheet06.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","rdf","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture02/worksheets/worksheet02.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","rdf","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab02/COMP-474-2234-UU_Lab%2520Session_02_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","rdf","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab04/COMP-474-2234-UU_Lab%2520Session_04_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","rdf","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture01/worksheets/worksheet01.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","rdf","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab03/COMP-474-2234-UU_Lab%2520Session_03_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","rdf","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture01/slides/Introduction_to_Intelligent_Systems01.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","rdf","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture02/slides/KnowledgeBase02.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","ibm","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/SOEN6431/Lectures/Lecture02/slides/SoftwareTraceability02.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","ibm","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture01/slides/Introduction_to_Intelligent_Systems01.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","ibm","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/SOEN6431/Lectures/Lecture01/slides/IntroSoftwareEvolution01.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","ibm","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture02/slides/KnowledgeBase02.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","a12","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture02/slides/KnowledgeBase02.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","java","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab02/COMP-474-2234-UU_Lab%2520Session_02_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","java","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/SOEN6431/Lectures/Lecture05/readings/ContiniousIntegration05.pdf"
"http://ROBOPROF.org/data#COMP6741_Lecture02","java","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/SOEN6431/Lectures/Lecture04/slides/MiningSoftwareRepositories04.pdf"
